NomCommune	Surface	Code insee	Pop 90	Pop 99	lon	lat	x mètres	y mètres	pixel x	pixel y
Hodent	443.9	95309	180	267	1.7630292703	49.1429796634	20842.597308287	112026.80362273	104.2129865414	560.1340181137
Chaumontel	427.1	95149	2933	3250	2.4360115612	49.1280210054	69935.165048458	109803.07324111	349.6758252423	549.0153662056
Marly-la-Ville	872	95371	5128	5696	2.5086786795	49.0812834474	75206.7828184561	104569.53490927	376.0339140923	522.8476745464
Vinantes	528.1	77525	247	287	2.7397170281	49.0033285071	92057.0481994901	95819.5520635694	460.2852409975	479.0977603178
Montigny-lès-Cormeilles	407.7	95424	17012	17183	2.1941424463	48.9941156857	52129.468254782	95064.5330955898	260.6473412739	475.3226654779
Porcheville	456.7	78501	2596	2502	1.7684678886	48.9764163698	20950.502417968	93498.32968996	104.7525120898	467.4916484498
Gressy	335.2	77214	868	813	2.6646862368	48.9652663329	86549.327023678	91607.4725353299	432.7466351184	458.0373626767
Magnanville	426.4	78354	6265	5624	1.6856007866	48.968543904	14870.431791019	92720.7700767796	74.3521589551	463.6038503839
Saint-Gratien	271.5	95555	19338	19226	2.285110181	48.968902914	58760.8009245021	92196.6879294896	293.8040046225	460.9834396474
Sammeron	609.6	77440	820	956	3.0771418474	48.9417698829	116752.098077793	88945.1830975097	583.760490389	444.7259154875
Vignely	361.7	77498	137	159	2.8161431022	48.9329236659	97630.6703134431	87974.3774138493	488.1533515672	439.8718870692
Le Pin	668.9	77363	952	1069	2.6278351769	48.9147491253	83824.6161942381	86001.9327273695	419.1230809712	430.0096636368
Crespières	1500	78189	1506	1466	1.9211676367	48.8821175716	31984.4257657471	82849.5275250394	159.9221288287	414.2476376252
Paris 10ème	290	75110	90083	89612	2.3605265487	48.8758388398	64198.4425101561	81800.7919418495	320.9922125508	409.0039597092
Paris  1er	182.1	75101	18360	16888	2.336354602	48.8626439999	62413.2403722841	80348.2558071101	312.0662018614	401.7412790356
Paris  6ème	212.6	75106	47891	44919	2.3328375955	48.8490187784	62142.422823658	78835.4285487896	310.7121141183	394.1771427439
Nogent-sur-Marne	283.3	94052	25248	28191	2.4817733174	48.8366680109	73062.6616482011	77380.0945169199	365.313308241	386.9004725846
