nomcom,surf,insee,pop90,pop99,lon,lat,gares,tx_hlm,dece9909,jeunesse,p09_pop,p99_pop,d90_pop,d82_pop,d75_pop,d68_pop,median,tx_appart
Saint-Witz,772.30000000000,95580,2074.00000000000,1925.00000000000,2.55303486784378,49.085853091154,24.0038415133697,1.21951219512195,65,2.13121434392828,2554,1925,2074,2027,355,163,33902,6.22119815668203
Sammeron,609.60000000000,77440,820.00000000000,956.00000000000,3.07714184742647,48.9417698829241,0.251343420642756,0,69,2.20430107526882,1031,957,820,457,353,372,21965,9.36689508313085
Nogent-sur-Marne,283.30000000000,94052,25248.00000000000,28191.00000000000,2.48177331742175,48.8366680108548,100.000000011038,28.2591674138508,2176,1.50007983394539,30956,28194,25248,24630,25634,26238,29831,83.9247607002113
Ballainvilliers,400.80000000000,91044,2531.00000000000,2749.00000000000,2.28922330659963,48.6713582302935,25.5780622337852,29.3906808834585,156,1.56368899917287,3812,2750,2531,2218,1589,935,28054,26.5352482010001
Chars,1684.70000000000,95142,1519.00000000000,1721.00000000000,1.93067518844168,49.1581139678512,60.0618800477282,16.8831168831169,179,1.88125,1783,1718,1519,1329,1435,1266,21095,17.2043010752688
Hédouville,534.50000000000,95304,283.00000000000,283.00000000000,2.17826793121756,49.1584975308195,0,0,16,0.870646766169154,259,282,283,196,164,172,31877,0.938120151542486
Asnières-sur-Oise,1415.60000000000,95026,2321.00000000000,2479.00000000000,2.37944886688396,49.1405232161091,15.3193695784679,9.27152356903862,140,1.71677559912854,2530,2476,2321,2186,1450,1462,25401,8.84751864232451
Santeuil,537.60000000000,95584,562.00000000000,578.00000000000,1.95720839460105,49.1287097852195,90.8565109605718,0,30,2.175,582,578,562,442,309,282,28566,5.37999720761391
Commeny,476.10000000000,95169,352.00000000000,375.00000000000,1.88778459940846,49.1263918581412,0,19.3548388140147,10,2.05263157894737,373,379,352,293,227,223,26666,7.91372096378589
Genainville,1055.50000000000,95270,476.00000000000,490.00000000000,1.75444697947769,49.1167907429401,0,0,31,1.52647975077882,549,490,476,353,310,300,23968,9.05076236519152
Survilliers,540.30000000000,95604,3661.00000000000,3654.00000000000,2.54421691635768,49.1067205879343,62.2614416735598,53.5886277528778,194,2.678,3723,3657,3661,3701,2727,1533,20712,56.9047940580689
Bellefontaine,758.00000000000,95055,474.00000000000,485.00000000000,2.4697595445406,49.0931911617537,0,8.57143051577924,155,0.739952718676123,443,482,474,317,314,300,25143,12.4206373667016
Génicourt,648.40000000000,95271,520.00000000000,544.00000000000,2.06103702198677,49.0948447844625,1.57353121285943,11.1111111111111,21,1.50757575757576,496,545,520,373,335,345,28137,8.76149819586319
Villers-en-Arthies,837.90000000000,95676,350.00000000000,426.00000000000,1.73004651378673,49.0857483262354,0,0,23,1.63257575757576,463,428,350,304,253,233,25555,5.55555555555556
Boissy-l'Aillerie,567.30000000000,95078,1659.00000000000,1668.00000000000,2.03288238587497,49.0832468953118,80.1231612558323,11.7244469947117,90,1.98540965207632,1780,1665,1659,1237,1091,991,25852,18.1260423201089
Cocherel,829.00000000000,77120,447.00000000000,484.00000000000,3.10564660322214,49.0183663725515,0,2.7027027027027,32,3.58602150537634,587,483,447,238,209,233,21158,2.07253886010363
Barcy,702.40000000000,77023,200.00000000000,213.00000000000,2.87660720594089,49.0176493560671,0,0,14,1.5,233,213,200,173,180,189,22872,1.1542730299667
Evecquemont,250.30000000000,78227,694.00000000000,672.00000000000,1.94240542074149,49.0174492898504,82.6967348028467,0,49,1.33531746031746,783,671,694,541,521,507,29680,11.6705822591911
Saint-Brice-sous-Forêt,600.80000000000,95539,11662.00000000000,12540.00000000000,2.35009448893394,49.0018968981057,77.9281437330757,55.1529850438927,528,2.85646186440678,14220,12535,11662,9528,7491,4804,21967,52.0452064345153
Rosny-sur-Seine,1934.20000000000,78531,4606.00000000000,4758.00000000000,1.60828089776924,48.9964792123803,47.0868567862353,33.4177215189873,310,1.70499528746466,5454,4763,4606,3932,3541,2796,21129,12.8852956038403
Limay,1147.70000000000,78335,12660.00000000000,15709.00000000000,1.73991279211914,48.9951769627693,67.5368921520651,68.9097427651426,853,2.61099335876784,16192,15695,12660,10129,9024,6615,17055,44.6197189006295
Eaubonne,442.30000000000,95203,22153.00000000000,22882.00000000000,2.27716330318276,48.9911750884278,100.000000004307,56.0264491133491,2132,1.33758891118001,23878,22867,22153,22227,23668,22278,24519,57.6530606962063
Franconville,624.10000000000,95252,33802.00000000000,33497.00000000000,2.22391646251637,48.9881550988539,88.9348732416693,51.757783399615,1799,1.82622200425045,33276,33492,33802,32948,24231,16205,21359,71.6452708537217
La Frette-sur-Seine,203.40000000000,95257,4126.00000000000,4378.00000000000,2.17765297211589,48.9748274965462,99.9999999962748,6.38285060978883,269,1.42546583850932,4564,4390,4126,3829,3681,3573,27994,20.3539872063503
Sannois,475.90000000000,95582,25229.00000000000,25349.00000000000,2.25295478550452,48.9720845417119,93.8354460273837,55.2203834232358,1467,2.00822293284605,25856,25313,25229,21665,18578,19060,21121,64.2718870136598
Bréval,1150.60000000000,78107,1440.00000000000,1646.00000000000,1.54155086074551,48.9549880208921,60.1890017277954,0,115,1.52145214521452,1966,1644,1440,1093,912,738,23835,7.92732827759288
Sevran,725.00000000000,93071,48478.00000000000,47063.00000000000,2.5310826700948,48.9385369267343,100.000000003956,69.8798004012744,2510,2.77271859488354,50021,47029,48478,41809,34221,20253,13653,63.1065422040724
Drancy,776.70000000000,93029,60707.00000000000,62263.00000000000,2.44504588924851,48.9232275861902,99.9999999899569,54.3327984049583,4446,2.01347911604767,66670,62271,60707,60183,64430,68467,15422,56.3435152725209
Houilles,448.20000000000,78311,29650.00000000000,29634.00000000000,2.18741533989123,48.9262877112794,100.00000002197,32.2461418584453,1861,1.86711251470679,31020,29653,29650,29537,30345,29338,25758,50.3674094733359
Le Pin,668.90000000000,77363,952.00000000000,1069.00000000000,2.62783517690818,48.9147491252941,0,0,61,2.15428571428571,1185,1067,952,770,609,628,25415,16.3934426229508
Carrières-sur-Seine,508.10000000000,78124,11469.00000000000,12050.00000000000,2.17837140250483,48.9116743129483,99.1052164957275,40.2510274365308,607,2.53393593403108,15249,12052,11469,11399,11733,11713,28018,55.8638718904598
Aigremont,302.20000000000,78007,914.00000000000,873.00000000000,2.01626433851078,48.900902747919,0,16.0000008180116,34,1.36533333333333,1092,873,914,864,406,262,38732,5.01268008417417
Montfermeil,545.60000000000,93047,25556.00000000000,24121.00000000000,2.5672112481291,48.8980912097476,78.1117341218015,55.8538463417071,1556,1.98223312518585,24722,24102,25556,22926,23237,21063,17160,33.2757409731753
La Haute-Maison,1295.50000000000,77225,204.00000000000,220.00000000000,3.00638180680009,48.8833076670791,0,3.7037041269612,8,2.16666666666667,322,220,204,167,151,157,22372,9.09090909090909
Crespières,1500.00000000000,78189,1506.00000000000,1466.00000000000,1.92116763674108,48.8821175715649,4.26048331074229,0,82,1.35042735042735,1601,1466,1506,1412,1012,627,36256,6.91455853585756
Thorigny-sur-Marne,514.60000000000,77464,8326.00000000000,9029.00000000000,2.71298889145685,48.8921530379747,77.8000438850423,48.1003584520232,496,1.77562975981254,9315,9031,8326,7596,7059,5768,23277,46.1826595559861
